exp,execution,benchmark,size_of_data,num_threads,version,num_threads,NI,ORIG,OMP
taskloop,1,trmm,MINI_DATASET,1,OMP,1,256,0,9276240
taskloop,2,trmm,MINI_DATASET,1,OMP,1,256,0,11166903
taskloop,3,trmm,MINI_DATASET,1,OMP,1,256,0,9928441
taskloop,4,trmm,MINI_DATASET,1,OMP,1,256,0,10001014
taskloop,5,trmm,MINI_DATASET,1,OMP,1,256,0,10050815
taskloop,6,trmm,MINI_DATASET,1,OMP,1,256,0,10425393
taskloop,7,trmm,MINI_DATASET,1,OMP,1,256,0,10472849
taskloop,8,trmm,MINI_DATASET,1,OMP,1,256,0,9911136
taskloop,9,trmm,MINI_DATASET,1,OMP,1,256,0,9214469
taskloop,10,trmm,MINI_DATASET,1,OMP,1,256,0,9656533
taskloop,1,trmm,MINI_DATASET,2,OMP,2,256,0,18995532
taskloop,2,trmm,MINI_DATASET,2,OMP,2,256,0,6834368
taskloop,3,trmm,MINI_DATASET,2,OMP,2,256,0,13820465
taskloop,4,trmm,MINI_DATASET,2,OMP,2,256,0,8464922
taskloop,5,trmm,MINI_DATASET,2,OMP,2,256,0,7857643
taskloop,6,trmm,MINI_DATASET,2,OMP,2,256,0,6781315
taskloop,7,trmm,MINI_DATASET,2,OMP,2,256,0,6954075
taskloop,8,trmm,MINI_DATASET,2,OMP,2,256,0,8181937
taskloop,9,trmm,MINI_DATASET,2,OMP,2,256,0,22559695
taskloop,10,trmm,MINI_DATASET,2,OMP,2,256,0,11204669
taskloop,1,trmm,MINI_DATASET,4,OMP,4,256,0,8019975
taskloop,2,trmm,MINI_DATASET,4,OMP,4,256,0,4172915
taskloop,3,trmm,MINI_DATASET,4,OMP,4,256,0,9033053
taskloop,4,trmm,MINI_DATASET,4,OMP,4,256,0,4164074
taskloop,5,trmm,MINI_DATASET,4,OMP,4,256,0,4190148
taskloop,6,trmm,MINI_DATASET,4,OMP,4,256,0,11160819
taskloop,7,trmm,MINI_DATASET,4,OMP,4,256,0,4175966
taskloop,8,trmm,MINI_DATASET,4,OMP,4,256,0,5358971
taskloop,9,trmm,MINI_DATASET,4,OMP,4,256,0,3906194
taskloop,10,trmm,MINI_DATASET,4,OMP,4,256,0,23982934
taskloop,1,trmm,MINI_DATASET,8,OMP,8,256,0,2619292
taskloop,2,trmm,MINI_DATASET,8,OMP,8,256,0,16620133
taskloop,3,trmm,MINI_DATASET,8,OMP,8,256,0,5463791
