exp = sequencial, execution = 1, benchmark = trmm, size_of_data = MINI_DATASET,
0.008099
version = OMP, NI = 256, ORIG = 0, OMP = 8098728, 
exp = sequencial, execution = 2, benchmark = trmm, size_of_data = MINI_DATASET,
0.008250
version = OMP, NI = 256, ORIG = 0, OMP = 8246403, 
exp = sequencial, execution = 3, benchmark = trmm, size_of_data = MINI_DATASET,
0.008309
version = OMP, NI = 256, ORIG = 0, OMP = 8305070, 
exp = sequencial, execution = 4, benchmark = trmm, size_of_data = MINI_DATASET,
0.008513
version = OMP, NI = 256, ORIG = 0, OMP = 8510071, 
exp = sequencial, execution = 5, benchmark = trmm, size_of_data = MINI_DATASET,
0.008206
version = OMP, NI = 256, ORIG = 0, OMP = 8205465, 
exp = sequencial, execution = 6, benchmark = trmm, size_of_data = MINI_DATASET,
0.008270
version = OMP, NI = 256, ORIG = 0, OMP = 8266107, 
exp = sequencial, execution = 7, benchmark = trmm, size_of_data = MINI_DATASET,
0.008387
version = OMP, NI = 256, ORIG = 0, OMP = 8386748, 
exp = sequencial, execution = 8, benchmark = trmm, size_of_data = MINI_DATASET,
0.008269
version = OMP, NI = 256, ORIG = 0, OMP = 8265844, 
exp = sequencial, execution = 9, benchmark = trmm, size_of_data = MINI_DATASET,
0.008398
version = OMP, NI = 256, ORIG = 0, OMP = 8397711, 
exp = sequencial, execution = 10, benchmark = trmm, size_of_data = MINI_DATASET,
0.008358
version = OMP, NI = 256, ORIG = 0, OMP = 8354716, 
exp = sequencial, execution = 1, benchmark = trmm, size_of_data = SMALL_DATASET,
0.068990
version = OMP, NI = 512, ORIG = 0, OMP = 68990175, 
exp = sequencial, execution = 2, benchmark = trmm, size_of_data = SMALL_DATASET,
0.071302
version = OMP, NI = 512, ORIG = 0, OMP = 71298763, 
exp = sequencial, execution = 3, benchmark = trmm, size_of_data = SMALL_DATASET,
0.069059
version = OMP, NI = 512, ORIG = 0, OMP = 69054352, 
exp = sequencial, execution = 4, benchmark = trmm, size_of_data = SMALL_DATASET,
0.068879
version = OMP, NI = 512, ORIG = 0, OMP = 68874798, 
exp = sequencial, execution = 5, benchmark = trmm, size_of_data = SMALL_DATASET,
0.069270
version = OMP, NI = 512, ORIG = 0, OMP = 69265695, 
exp = sequencial, execution = 6, benchmark = trmm, size_of_data = SMALL_DATASET,
0.069387
version = OMP, NI = 512, ORIG = 0, OMP = 69383153, 
exp = sequencial, execution = 7, benchmark = trmm, size_of_data = SMALL_DATASET,
0.071467
version = OMP, NI = 512, ORIG = 0, OMP = 71463315, 
exp = sequencial, execution = 8, benchmark = trmm, size_of_data = SMALL_DATASET,
0.070898
version = OMP, NI = 512, ORIG = 0, OMP = 70894486, 
exp = sequencial, execution = 9, benchmark = trmm, size_of_data = SMALL_DATASET,
0.069207
version = OMP, NI = 512, ORIG = 0, OMP = 69203054, 
exp = sequencial, execution = 10, benchmark = trmm, size_of_data = SMALL_DATASET,
0.070886
version = OMP, NI = 512, ORIG = 0, OMP = 70882472, 
exp = sequencial, execution = 1, benchmark = trmm, size_of_data = STANDARD_DATASET,
0.599940
version = OMP, NI = 1024, ORIG = 0, OMP = 599938752, 
exp = sequencial, execution = 2, benchmark = trmm, size_of_data = STANDARD_DATASET,
0.584198
version = OMP, NI = 1024, ORIG = 0, OMP = 584194867, 
exp = sequencial, execution = 3, benchmark = trmm, size_of_data = STANDARD_DATASET,
0.611990
version = OMP, NI = 1024, ORIG = 0, OMP = 611989446, 
exp = sequencial, execution = 4, benchmark = trmm, size_of_data = STANDARD_DATASET,
0.585562
version = OMP, NI = 1024, ORIG = 0, OMP = 585558292, 
exp = sequencial, execution = 5, benchmark = trmm, size_of_data = STANDARD_DATASET,
0.566011
version = OMP, NI = 1024, ORIG = 0, OMP = 566009709, 
exp = sequencial, execution = 6, benchmark = trmm, size_of_data = STANDARD_DATASET,
0.578160
version = OMP, NI = 1024, ORIG = 0, OMP = 578156565, 
exp = sequencial, execution = 7, benchmark = trmm, size_of_data = STANDARD_DATASET,
0.641237
version = OMP, NI = 1024, ORIG = 0, OMP = 641236567, 
exp = sequencial, execution = 8, benchmark = trmm, size_of_data = STANDARD_DATASET,
0.584970
version = OMP, NI = 1024, ORIG = 0, OMP = 584965410, 
exp = sequencial, execution = 9, benchmark = trmm, size_of_data = STANDARD_DATASET,
0.604368
version = OMP, NI = 1024, ORIG = 0, OMP = 604365176, 
exp = sequencial, execution = 10, benchmark = trmm, size_of_data = STANDARD_DATASET,
0.588092
version = OMP, NI = 1024, ORIG = 0, OMP = 588087350, 
exp = sequencial, execution = 1, benchmark = trmm, size_of_data = LARGE_DATASET,
4.981545
version = OMP, NI = 2048, ORIG = 0, OMP = 4981541944, 
exp = sequencial, execution = 2, benchmark = trmm, size_of_data = LARGE_DATASET,
4.873718
version = OMP, NI = 2048, ORIG = 0, OMP = 4873714409, 
exp = sequencial, execution = 3, benchmark = trmm, size_of_data = LARGE_DATASET,
4.861516
version = OMP, NI = 2048, ORIG = 0, OMP = 4861515646, 
exp = sequencial, execution = 4, benchmark = trmm, size_of_data = LARGE_DATASET,
4.874235
version = OMP, NI = 2048, ORIG = 0, OMP = 4874232314, 
exp = sequencial, execution = 5, benchmark = trmm, size_of_data = LARGE_DATASET,
4.873133
version = OMP, NI = 2048, ORIG = 0, OMP = 4873129868, 
exp = sequencial, execution = 6, benchmark = trmm, size_of_data = LARGE_DATASET,
4.975134
version = OMP, NI = 2048, ORIG = 0, OMP = 4975131214, 
exp = sequencial, execution = 7, benchmark = trmm, size_of_data = LARGE_DATASET,
5.187234
version = OMP, NI = 2048, ORIG = 0, OMP = 5187233618, 
exp = sequencial, execution = 8, benchmark = trmm, size_of_data = LARGE_DATASET,
5.351863
version = OMP, NI = 2048, ORIG = 0, OMP = 5351860373, 
exp = sequencial, execution = 9, benchmark = trmm, size_of_data = LARGE_DATASET,
5.390946
version = OMP, NI = 2048, ORIG = 0, OMP = 5390942035, 
exp = sequencial, execution = 10, benchmark = trmm, size_of_data = LARGE_DATASET,
4.956689
version = OMP, NI = 2048, ORIG = 0, OMP = 4956684288, 
exp = sequencial, execution = 1, benchmark = trmm, size_of_data = EXTRALARGE_DATASET,
39.899757
version = OMP, NI = 4096, ORIG = 0, OMP = 39899755607, 
exp = sequencial, execution = 2, benchmark = trmm, size_of_data = EXTRALARGE_DATASET,
39.791077
version = OMP, NI = 4096, ORIG = 0, OMP = 39791073705, 
exp = sequencial, execution = 3, benchmark = trmm, size_of_data = EXTRALARGE_DATASET,
40.025083
version = OMP, NI = 4096, ORIG = 0, OMP = 40025079737, 
exp = sequencial, execution = 4, benchmark = trmm, size_of_data = EXTRALARGE_DATASET,
39.871985
